"trial.count"	"stimulus"	"study"	"age"	"condition"	"gender"	"yoke_video"	"version"	"side"	"ID"	"choices"	"light"	"which_cup"	"correct_choice"	"time_win"	"roi_c1"	"roi_c2"	"roi_c3"	"roi_cor"
3	"F1_gir1_cup3-13"	"ETPIP"	"M24"	"peer"	"0"	"f1"	"gir1"	"lef"	"245554"	"213132123"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
4	"F1_gir1_cup1-15"	"ETPIP"	"M24"	"peer"	"0"	"f1"	"gir1"	"lef"	"245554"	"213132123"	"darks"	"1"	1	"time4"	1	NA	0	1
5	"F1_gir1_cup3-17"	"ETPIP"	"M24"	"peer"	"0"	"f1"	"gir1"	"lef"	"245554"	"213132123"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
6	"F1_gir1_cup2-19"	"ETPIP"	"M24"	"peer"	"0"	"f1"	"gir1"	"lef"	"245554"	"213132123"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
7	"F1_gir1_cup1-21"	"ETPIP"	"M24"	"peer"	"0"	"f1"	"gir1"	"lef"	"245554"	"213132123"	"darks"	"1"	1	"time4"	1	NA	0	1
8	"F1_gir1_cup2-23"	"ETPIP"	"M24"	"peer"	"0"	"f1"	"gir1"	"lef"	"245554"	"213132123"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
9	"F1_gir1_cup3-25"	"ETPIP"	"M24"	"peer"	"0"	"f1"	"gir1"	"lef"	"245554"	"213132123"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
1	"F2_gir2_cup2-9"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"245377"	"2131X321X"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
2	"F2_gir2_cup1-11"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"245377"	"2131X321X"	"darks"	"1"	1	"time4"	NA	NA	NA	NA
3	"F2_gir2_cup3-13"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"245377"	"2131X321X"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
4	"F2_gir2_cup2-15"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"245377"	"2131X321X"	"darks"	"1"	0	"time4"	NA	NA	NA	NA
5	"F2_gir2_cup1-17"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"245377"	"2131X321X"	"darks"	NA	NA	"time4"	NA	NA	NA	NA
6	"F2_gir2_cup3-19"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"245377"	"2131X321X"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
7	"F2_gir2_cup2-21"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"245377"	"2131X321X"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
8	"F2_gir2_cup1-23"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"245377"	"2131X321X"	"darks"	"1"	1	"time4"	NA	NA	NA	NA
9	"F2_gir2_cup3-25"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"245377"	"2131X321X"	"darks"	NA	NA	"time4"	NA	NA	NA	NA
